user_id,gender,age,archetype,personality_openness,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_neuroticism,religion_religiosity,religion_spirituality,religion_secular_lean,values_family_priority,values_career_priority,values_adventure_seeking,values_stability_need,values_social_justice,education_level,education_field,content_news_frequency,content_book_reader,content_podcast_listener,content_social_media_usage,content_streaming_hours,friends_group_size_pref,friends_loyalty_importance,friends_social_frequency,friends_new_people_openness,media_genres,perspectives_political_leaning,perspectives_open_to_debate,perspectives_global_mindset,perspectives_local_focus,preferences_indoor_outdoor,preferences_city_nature,preferences_routine_spontaneous,preferences_planning_impulsive,substances_alcohol_frequency,substances_caffeine_dependency,substances_dietary_flexibility,self_life_satisfaction,self_confidence_level,self_growth_mindset,self_awareness,traits_humor,traits_creativity,traits_empathy,traits_ambition,traits_authenticity,background_hometown_size,background_relationship_status,background_has_kids,background_birth_order,available_days,pref_cuisine_italian,pref_cuisine_japanese,pref_cuisine_mexican,pref_cuisine_american,pref_cuisine_indian,pref_cuisine_thai,pref_cuisine_mediterranean
U0001,M,31,social,5,6,7,6,4,3,4,4,5,3,6,6,5,Master's,Health & Medicine,6,4,4,7,6,7,4,7,7,Documentary|Thriller|Animation,5,6,7,3,6,5,7,4,5,4,2,5,5,5,5,7,6,6,4,7,Urban,Single,No,Oldest,Tuesday|Thursday|Saturday,1,3,7,1,5,7,6
U0002,F,35,professional,7,7,5,7,4,2,5,4,3,6,3,6,5,Bachelor's,Social Sciences,1,5,5,6,3,7,7,4,6,Comedy|Documentary,5,5,6,4,3,6,6,3,3,3,7,6,7,7,6,5,7,6,7,4,Suburban,Prefer Not to Say,No,Oldest,Wednesday|Sunday,5,6,1,5,1,4,2
U0003,F,29,creative,5,1,5,4,5,6,6,3,4,3,6,3,5,Bachelor's,Law & Policy,4,6,7,4,6,5,6,5,7,Drama|Sci-Fi|Horror|Documentary|Thriller|Animation,1,6,5,4,7,6,6,4,4,3,3,4,6,7,7,7,7,7,3,7,Rural,Dating,Yes,Youngest,Monday|Tuesday|Saturday|Sunday,2,4,4,3,4,7,6
U0004,F,30,traditional,4,7,5,6,6,7,4,1,7,5,5,7,4,Some College,Social Sciences,5,4,4,5,1,6,7,2,2,Drama|Animation,6,3,4,6,2,6,3,1,5,4,2,5,6,6,6,6,5,6,4,7,Suburban,Single,No,Oldest,Monday|Tuesday|Friday,4,7,7,5,1,4,6
U0005,M,27,intellectual,7,6,2,4,4,1,4,5,5,6,6,4,6,PhD/Professional,Other,6,6,7,4,3,4,7,5,7,Drama|Romance|Thriller,1,5,5,6,5,4,4,3,7,6,5,6,6,7,6,6,7,7,7,6,Rural,Single,No,Only Child,Friday|Saturday,2,7,2,3,2,3,1
U0006,M,21,intellectual,7,6,3,3,3,1,5,5,3,7,5,7,4,Bachelor's,STEM,7,7,6,2,3,1,7,4,4,Drama|Sci-Fi|Documentary,1,5,7,4,6,5,3,7,7,5,1,5,5,6,7,4,7,6,7,7,Urban,Prefer Not to Say,No,Only Child,Monday|Thursday|Friday,5,3,5,3,4,5,4
U0007,M,21,adventurer,7,3,4,6,2,3,7,3,4,4,7,2,5,Bachelor's,Health & Medicine,4,3,6,6,1,6,6,4,6,Comedy|Drama|Sci-Fi|Romance|Documentary,2,7,7,4,6,7,7,7,5,3,7,6,5,5,4,7,5,7,7,6,Urban,Dating,No,Oldest,Wednesday|Thursday|Sunday,3,3,4,3,1,6,3
U0008,F,21,professional,6,7,5,5,3,6,3,3,3,7,5,5,6,Master's,Arts & Humanities,4,6,4,5,5,4,7,6,7,Sci-Fi|Romance|Documentary,5,4,6,2,3,6,3,4,4,7,5,5,7,4,7,4,7,5,7,7,Urban,Prefer Not to Say,No,Youngest,Tuesday|Sunday,2,6,1,7,7,4,5
U0009,F,27,traditional,1,7,5,7,2,7,4,1,6,6,3,7,3,Master's,STEM,6,5,4,5,3,5,6,4,4,Comedy|Romance|Horror|Thriller,7,6,4,4,4,7,2,1,3,5,4,6,7,6,5,6,2,6,4,6,Small Town,Open Relationship,No,Only Child,Monday|Thursday,2,3,5,5,1,6,3
U0010,F,29,creative,7,3,5,3,4,2,7,5,4,4,6,2,6,Some College,Law & Policy,5,4,5,3,5,3,5,5,6,Action|Horror|Documentary|Reality,3,7,5,2,6,7,5,5,7,4,7,6,7,6,6,5,7,5,7,7,Urban,Open Relationship,No,Youngest,Tuesday|Thursday|Saturday|Sunday,4,6,7,2,5,3,1
U0011,M,28,adventurer,4,5,6,6,3,3,6,5,4,6,7,3,5,High School,STEM,6,4,7,3,3,5,4,7,6,Comedy|Drama|Action|Horror|Documentary|Thriller,2,3,5,1,4,7,7,7,4,4,6,4,7,7,5,6,5,2,6,5,Rural,Open Relationship,Yes,Oldest,Monday|Wednesday|Friday,3,7,7,3,4,4,6
U0012,F,34,professional,7,7,7,5,3,2,2,6,5,7,4,5,6,Master's,Arts & Humanities,5,6,5,5,5,4,7,6,3,Drama|Action|Romance|Documentary|Animation,3,3,7,4,5,3,2,4,4,7,3,7,7,7,5,5,5,3,7,6,Suburban,Single,Yes,Only Child,Monday|Wednesday|Sunday,5,4,3,4,1,1,6
U0013,F,28,creative,7,5,7,5,5,5,6,4,4,3,6,2,5,Bachelor's,STEM,3,6,6,3,6,4,6,5,7,Drama|Sci-Fi|Documentary|Animation,1,7,5,4,4,7,6,4,6,5,7,4,6,7,7,6,6,6,6,7,Urban,Dating,No,Youngest,Monday|Friday,2,2,5,1,7,3,5
U0014,F,34,intellectual,7,6,3,4,1,4,3,5,1,5,3,7,7,Master's,STEM,6,7,7,3,1,6,5,2,6,Comedy|Drama|Action|Sci-Fi|Horror|Documentary|Thriller,5,7,7,5,5,5,4,4,4,5,5,3,5,6,6,5,7,7,5,6,Urban,Dating,Yes,Middle,Monday|Tuesday|Wednesday|Thursday,1,7,2,2,1,5,2
U0015,F,26,intellectual,7,7,4,4,4,1,6,5,4,5,7,3,7,Master's,Law & Policy,6,7,7,5,6,1,7,6,3,Drama|Sci-Fi|Documentary|Thriller,2,7,7,3,2,2,5,5,4,5,3,6,4,6,6,5,6,6,6,7,Rural,Dating,No,Only Child,Wednesday|Thursday|Friday|Saturday,7,4,1,4,4,3,6
U0016,M,27,intellectual,5,6,4,5,5,1,4,5,4,7,6,4,5,PhD/Professional,STEM,6,7,7,4,3,1,7,3,6,Drama|Action|Sci-Fi|Romance|Horror|Documentary,2,7,7,3,5,3,6,5,5,5,5,3,5,6,7,5,7,6,7,7,Suburban,Single,No,Oldest,Monday|Tuesday|Thursday|Sunday,7,3,7,3,5,3,2
U0017,M,33,intellectual,6,6,2,4,3,1,4,5,4,5,3,6,7,Bachelor's,Business,7,6,7,3,5,2,5,6,5,Documentary|Thriller|Reality,3,7,7,4,3,4,5,3,4,5,4,5,2,7,5,5,7,5,4,6,Urban,Single,No,Middle,Tuesday|Wednesday|Thursday|Friday,5,3,5,4,1,7,5
U0018,F,27,social,7,4,7,6,3,3,1,3,3,6,5,4,4,Some College,Business,5,2,5,7,5,6,6,7,6,Comedy|Drama|Romance|Horror|Documentary|Thriller|Reality,3,4,5,5,5,7,6,5,5,5,4,3,7,4,4,7,6,7,5,7,Suburban,Dating,Yes,Middle,Monday|Friday|Saturday|Sunday,5,5,1,3,7,6,3
U0019,M,24,social,6,4,5,6,6,4,5,4,4,3,5,5,6,Some College,STEM,4,4,7,6,7,7,7,7,7,Comedy|Drama|Action|Horror|Animation,4,6,6,5,5,7,4,5,7,3,4,7,7,4,4,5,6,7,7,6,Urban,Prefer Not to Say,No,Youngest,Tuesday|Wednesday|Saturday|Sunday,7,4,1,3,4,3,7
U0020,M,25,intellectual,7,7,4,5,2,2,5,7,6,5,4,5,4,Some College,STEM,7,7,6,1,5,2,5,1,5,Drama|Sci-Fi|Documentary,4,7,6,3,5,3,4,5,6,6,5,4,4,7,7,6,6,7,7,7,Urban,Single,No,Oldest,Wednesday|Thursday,7,2,5,1,3,3,1
U0021,F,24,traditional,2,7,4,5,4,7,3,1,7,5,6,7,4,Bachelor's,Business,4,4,4,3,4,6,7,6,3,Comedy|Drama|Action|Sci-Fi|Romance|Thriller|Animation,6,3,1,6,3,5,3,3,2,6,6,5,7,7,5,4,3,5,4,7,Small Town,Open Relationship,No,Oldest,Friday|Saturday|Sunday,2,3,6,1,4,1,7
U0022,F,27,adventurer,7,6,5,5,5,2,6,3,4,4,7,4,7,Bachelor's,Other,5,5,6,3,5,5,5,7,6,Drama|Action|Sci-Fi|Horror|Documentary,4,7,6,1,5,7,7,5,4,5,7,6,6,5,4,7,5,7,7,7,Suburban,Dating,No,Oldest,Tuesday|Thursday|Saturday,6,4,6,4,4,1,7
